município,saldo,movements,month
211100,1,3,202209
211102,2,2,202209
211105,4,22,202209
211107,0,2,202209
211110,-16,130,202209
211120,125,1015,202209
211125,0,2,202209
211130,4175,19179,202209
211140,4,6,202209
211150,10,56,202209
211153,2,8,202209
211157,1,11,202209
211160,-8,186,202209
211163,2,2,202209
211170,1,7,202209
211174,8,8,202209
211176,0,14,202209
211178,1,1,202209
211180,4,18,202209
211190,0,6,202209
211195,2,4,202209
211200,-71,205,202209
211210,9,17,202209
211220,182,780,202209
211223,6,70,202209
211230,-6,36,202209
211240,9,15,202209
211245,2,2,202209
211250,3,75,202209
211260,53,87,202209
211270,15,91,202209
211280,7,53,202209
211285,29,77,202209
211290,4,18,202209
211300,-5,33,202209
211400,1,51,202209
220005,1,1,202209
220020,23,121,202209
220025,4,4,202209
220027,-3,3,202209
220030,8,16,202209
220040,64,142,202209
220045,-3,3,202209
220050,7,21,202209
220060,2,4,202209
220070,6,8,202209
220080,-1,9,202209
220090,-1,1,202209
220095,-4,18,202209
220100,1,1,202209
220105,1,1,202209
220110,7,13,202209
220115,9,435,202209
220120,2,66,202209
220130,-1,1,202209
220140,-13,35,202209
220150,3,29,202209
220155,1,1,202209
220157,3,3,202209
220160,7,11,202209
220170,0,2,202209
220173,-8,10,202209
220177,2,2,202209
220180,-1,1,202209
220190,9,339,202209
220191,-2,2,202209
220192,0,4,202209
220194,1,1,202209
220196,-6,10,202209
220200,26,56,202209
220205,-4,8,202209
220207,1,1,202209
220208,5,81,202209
220209,1,3,202209
220211,-8,16,202209
220213,-1,1,202209
220217,-1,3,202209
220220,52,212,202209
220225,-8,8,202209
220230,9,121,202209
220240,-3,5,202209
220245,18,22,202209
220250,-3,3,202209
220253,-1,3,202209
220255,4,10,202209
220260,16,78,202209
220265,2,2,202209
220270,12,20,202209
220271,-1,1,202209
220273,-2,8,202209
220275,-1,13,202209
220280,1,1,202209
220285,1,7,202209
220290,-3,183,202209
220300,-1,3,202209
220310,0,18,202209
220320,6,14,202209
220323,8,56,202209
220325,19,21,202209
220327,-6,6,202209
220330,2,54,202209
220340,-4,6,202209
220342,-2,2,202209
220345,-21,23,202209
220350,2,32,202209
220360,-6,8,202209
220370,23,109,202209
220380,0,2,202209
220385,1,1,202209
220390,-17,545,202209
220400,4,6,202209
220410,1,3,202209
220420,1,1,202209
220430,13,41,202209
220435,5,5,202209
220440,3,33,202209
220450,20,48,202209
220465,5,13,202209
220470,3,13,202209
220480,0,4,202209
220490,-6,6,202209
220500,3,19,202209
220510,-103,115,202209
220515,-3,3,202209
220520,9,13,202209
220527,-1,1,202209
220530,-4,6,202209
220540,4,18,202209
220550,-8,70,202209
220551,0,2,202209
220552,6,8,202209
220553,-1,1,202209
220554,-3,3,202209
220555,-1,3,202209
220556,70,88,202209
220557,-1,3,202209
220558,0,4,202209
220559,-1,1,202209
220560,-4,24,202209
220570,9,147,202209
220580,-6,26,202209
220590,-1,11,202209
220595,5,23,202209
220600,2,2,202209
220605,11,13,202209
220610,2,4,202209
220620,-20,40,202209
220630,2,4,202209
220640,2,14,202209
220650,0,2,202209
220660,9,61,202209
220665,-6,6,202209
220667,-1,1,202209
220669,-3,3,202209
220670,5,9,202209
220672,0,20,202209
220675,3,3,202209
220690,0,2,202209
220695,1,1,202209
220700,22,152,202209
220720,-1,3,202209
220735,-33,39,202209
220740,1,21,202209
220750,-2,4,202209
220755,11,15,202209
220760,13,19,202209
220770,184,1206,202209
220777,8,10,202209
220779,-3,3,202209
220780,24,48,202209
220785,0,2,202209
220790,1,39,202209
220793,1,1,202209
220795,1,1,202209
220800,61,661,202209
220810,11,19,202209
220820,32,42,202209
220830,36,106,202209
